operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count
list,10,1,1,thread,0.0015931129455566406,0.0015931129455566406,0.0015931129455566406,0.0015931129455566406,0,0,0,0,1,0
list,10,5,1,thread,0.002646780014038086,0.002773284912109375,0.002222299575805664,0.0029251575469970703,0,0,0,0,5,0
list,10,50,1,thread,0.37603021144866944,0.015579938888549805,0.01165008544921875,1.0961241722106934,0,0,0,0,50,0
list,50,1,1,thread,0.0005822181701660156,0.0005822181701660156,0.0005822181701660156,0.0005822181701660156,0,0,0,0,1,0
list,50,5,1,thread,0.002894878387451172,0.003013134002685547,0.002283334732055664,0.003426074981689453,0,0,0,0,5,0
list,50,50,1,thread,0.014204454421997071,0.01594400405883789,0.0026149749755859375,0.01851677894592285,0,0,0,0,50,0
list,100,1,1,thread,0.0007407665252685547,0.0007407665252685547,0.0007407665252685547,0.0007407665252685547,0,0,0,0,1,0
list,100,5,1,thread,0.0022223472595214845,0.0022907257080078125,0.0016024112701416016,0.002753734588623047,0,0,0,0,5,0
list,100,50,1,thread,0.016268081665039062,0.01782512664794922,0.0027964115142822266,0.021242380142211914,0,0,0,0,50,0
download,10,1,1,thread,0.11535239219665527,0.11535239219665527,0.11535239219665527,0.11535239219665527,90901972.64503755,90901972.64503755,90901972.64503755,90901972.64503755,1,0
download,10,5,1,thread,0.32766308784484866,0.31410980224609375,0.11051511764526367,0.5641729831695557,43949742.650314115,33382466.656627238,18586072.55719763,94880774.89685762,5,0
download,10,50,1,thread,1.254771605781887,1.3170099258422852,0.13221073150634766,2.2816567420959473,15058798.587406209,7961792.689826464,4595678.134462812,79310959.71204548,23,27
download,50,1,1,thread,0.9275803565979004,0.9275803565979004,0.9275803565979004,0.9275803565979004,56522111.13255336,56522111.13255336,56522111.13255336,56522111.13255336,1,0
download,50,5,1,thread,2.6076090335845947,2.646723508834839,0.9600579738616943,4.22541069984436,26346941.385978606,19808944.842553884,12407977.288913282,54610035.463913426,5,0
download,50,50,1,thread,31.294608812332154,20.949445366859436,1.092477560043335,67.90821862220764,5053330.55441721,2503396.447248389,772053.825939332,47990734.01372228,50,0
download,100,1,1,thread,2.7503738403320312,2.7503738403320312,2.7503738403320312,2.7503738403320312,38124853.59711731,38124853.59711731,38124853.59711731,38124853.59711731,1,0
download,100,5,1,thread,7.799966812133789,7.864414691925049,2.946416139602661,12.504402875900269,17358207.938932683,13333172.79258744,8385654.320374787,35588184.096134014,5,0
download,100,50,1,thread,84.90162829875946,72.92941689491272,2.7983994483947754,202.81050658226013,3074852.338463539,1439349.301840912,517022.5239660829,37470561.98862127,50,0
upload,10,1,1,thread,0.1146249771118164,0.1146249771118164,0.1146249771118164,0.1146249771118164,91478840.51284185,91478840.51284185,91478840.51284185,91478840.51284185,1,0
upload,10,5,1,thread,0.29308490753173827,0.29343533515930176,0.1659533977508545,0.4219706058502197,39841857.99532308,35734483.01414495,24849503.388683822,63184967.23846685,5,0
upload,10,50,1,thread,5.137716255187988,5.262801289558411,3.046980142593384,6.545631408691406,2126503.5640052822,1992481.5508425217,1601947.8252436917,3441361.449462952,50,0
upload,50,1,1,thread,0.7800796031951904,0.7800796031951904,0.7800796031951904,0.7800796031951904,67209551.16023119,67209551.16023119,67209551.16023119,67209551.16023119,1,0
upload,50,5,1,thread,3.075972080230713,3.148366689682007,1.5535447597503662,4.437732696533203,19491552.706751365,16652698.102740835,11814321.317946404,33747852.88350791,5,0
upload,50,50,1,thread,207.5261735153198,211.91592371463776,146.30757069587708,252.65013647079468,258353.7351500915,247408.75446615455,207515.42323453506,358346.45979449264,50,0
upload,100,1,1,thread,2.5156710147857666,2.5156710147857666,2.5156710147857666,2.5156710147857666,41681761.79782777,41681761.79782777,41681761.79782777,41681761.79782777,1,0
upload,100,5,1,thread,20.47839469909668,19.75721311569214,8.447930335998535,34.758976221084595,6455378.064020965,5307307.229313481,3016705.6513129976,12412223.565951785,5,0
upload,100,50,1,thread,722.8654327344894,720.1808037757874,653.6227405071259,821.3113963603973,145681.59893014492,145599.14705554326,127670.9424277704,160425.26292558946,50,0
list,10,1,5,thread,0.0018570423126220703,0.0018570423126220703,0.0018570423126220703,0.0018570423126220703,0,0,0,0,1,0
list,10,5,5,thread,0.0043071269989013675,0.004305839538574219,0.0035479068756103516,0.004882097244262695,0,0,0,0,5,0
